iTOW,clkB,clkD,tAcc,fAcc
423899000,-309214,-428,8,602
423909000,-313496,-428,8,603
423919000,-317778,-428,8,599
423929000,-322060,-428,8,614
423939000,-326343,-428,8,603
423949000,-330626,-428,8,611
423959000,-334909,-428,8,609
423969000,-339192,-428,8,600
423979000,-343473,-428,8,596
423989000,-347755,-428,8,602
423999000,-352037,-428,8,589
424009000,-356318,-428,8,591
424019000,-360600,-428,8,588
424029000,-364883,-428,8,603
424039000,-369165,-428,8,617
424049000,-373448,-428,8,620
424059000,-377731,-428,8,634
424069000,-382014,-428,8,632
424079000,-386298,-428,8,614
424089000,-390583,-428,8,619
424099000,-394866,-428,9,631
424109000,-399148,-428,9,634
424119000,-403428,-428,9,631
424129000,-407709,-428,9,628
424139000,-411990,-428,9,624
424149000,-416272,-428,9,632
424159000,-420553,-428,9,637
424169000,-424836,-428,9,614
424179000,-429119,-428,9,638
424189000,-433401,-428,9,659
424199000,-437683,-428,9,667
424209000,-441965,-428,10,667
424219000,-446247,-428,10,672
424229000,-450528,-428,10,676
424239000,-454808,-428,10,663
424249000,-459088,-428,10,662
424259000,-463369,-428,10,667
424269000,-467649,-428,10,669
424279000,-471930,-428,10,677
424289000,-476211,-428,10,667
424299000,-480493,-428,10,679
424309000,-484775,-428,10,675
424319000,-489058,-428,10,684
424329000,-493339,-428,10,674
424339000,-497620,-428,10,666
424349000,-501901,-428,10,674
424359000,-506183,-428,10,677
424369000,-510465,-428,10,662
424379000,-514747,-428,10,654
424389000,-519029,-428,10,637
424399000,-523310,-428,10,637
424409000,-527591,-428,10,615
424419000,-531872,-428,10,607
424429000,-536152,-428,9,585
424439000,-540432,-428,9,589
424449000,-544712,-428,9,599
424459000,-548991,-428,8,600
424469000,-553271,-428,8,598
424479000,-557550,-428,8,599
424489000,-561828,-428,8,602
424499000,-566105,-428,8,605
424509000,-570383,-428,8,611
424519000,-574661,-428,8,611
424529000,-578938,-428,8,595
424539000,-583217,-428,8,610
424549000,-587494,-428,8,593
424559000,-591770,-428,8,597
424569000,-596046,-428,8,614
424579000,-600321,-428,8,601
424589000,-604595,-427,8,601
424599000,-608869,-427,8,606
424609000,-613143,-427,8,629
424619000,-617418,-427,8,649
424629000,-621691,-427,8,658
424639000,-625965,-427,9,668
424649000,-630238,-427,9,691
424659000,-634511,-427,9,683
424669000,-638784,-427,9,728
424679000,-643057,-427,9,742
424689000,-647332,-427,9,689
424699000,-651605,-427,10,704
424709000,-655879,-427,10,739
424719000,-660154,-427,10,713
424729000,-664428,-427,10,709
424739000,-668701,-427,10,716
424749000,-672974,-427,10,668
424759000,-677247,-427,10,679
424769000,-681519,-427,10,713
424779000,-685792,-427,10,703
424789000,-690063,-427,10,678
424799000,-694335,-427,10,672
424809000,-698606,-427,10,679
424819000,-702878,-427,10,703
424829000,-707147,-427,10,712
424839000,-711416,-427,10,680
424849000,-715684,-427,10,656
424859000,-719953,-427,10,682
424869000,-724222,-427,10,712
424879000,-728490,-427,10,687
424889000,-732759,-427,10,682
424899000,-737027,-427,10,673
424909000,-741294,-427,10,691
424919000,-745561,-427,10,673
424929000,-749828,-427,10,677
424939000,-754093,-427,10,680
424949000,-758358,-427,10,656
424959000,-762623,-426,10,652
424969000,-766887,-426,10,646
424979000,-771151,-426,10,656
424989000,-775415,-426,10,649
424999000,-779678,-426,10,645
425009000,-783940,-426,10,641
425019000,-788203,-426,10,642
425029000,-792466,-426,10,641
425039000,-796729,-426,10,635
425049000,-800992,-426,10,647
425059000,-805255,-426,10,636
425069000,-809517,-426,10,633
425079000,-813780,-426,10,632
425089000,-818042,-426,10,639
425099000,-822304,-426,10,630
425109000,-826565,-426,10,631
425119000,-830828,-426,10,633
425129000,-835091,-426,10,642
425139000,-839353,-426,10,641
425149000,-843615,-426,10,648
425159000,-847876,-426,10,645
425169000,-852136,-426,10,673
425179000,-856397,-426,10,671
425189000,-860658,-426,10,647
425199000,-864919,-426,10,660
425209000,-869180,-426,10,664
425219000,-873442,-426,10,675
425229000,-877704,-426,10,685
425239000,-881965,-426,10,728
425249000,-886226,-426,10,693
425259000,-890488,-426,10,692
425269000,-894751,-426,10,718
425279000,-899014,-426,10,686
425289000,-903275,-426,10,661
425299000,-907535,-426,10,658
425309000,-911796,-426,10,670
425319000,-916054,-426,10,662
425329000,-920314,-426,10,632
425339000,-924573,-426,10,632
425349000,-928833,-426,10,709
425359000,-933093,-426,10,785
425369000,-937355,-426,10,752
425379000,-941615,-426,10,702
425389000,-945875,-426,10,747
425399000,-950135,-426,10,705
425409000,-954394,-426,10,703
425419000,-958653,-426,10,728
425429000,-962912,-426,10,721
425439000,-967172,-426,10,682
425449000,-971431,-426,10,683
425459000,-975690,-426,10,697
425469000,-979949,-426,10,736
425479000,-984207,-426,10,712
425489000,-988465,-426,10,695
425499000,-992722,-426,10,710
425509000,-996979,-426,10,670
425519000,-1236,-426,10,677
425529000,-5493,-426,10,674
425539000,-9748,-426,10,670
425549000,-14004,-426,11,712
425559000,-18260,-426,11,658
425569000,-22514,-425,11,656
425579000,-26768,-426,11,655
425589000,-31023,-426,11,684
425599000,-35278,-425,11,693
425609000,-39532,-425,11,735
425619000,-43786,-425,12,726
425629000,-48039,-425,12,724
425639000,-52291,-425,12,720
425649000,-56543,-425,12,718
425659000,-60794,-425,12,764
425669000,-65045,-425,12,716
425679000,-69298,-425,12,726
425689000,-73552,-425,12,702
425699000,-77804,-425,12,707
425709000,-82058,-425,12,691
425719000,-86310,-425,12,711
425729000,-90562,-425,12,686
425739000,-94814,-425,12,711
425749000,-99065,-425,12,745
425759000,-103316,-425,12,720
425769000,-107567,-425,12,687
425779000,-111817,-425,12,693
425789000,-116067,-425,12,731
425799000,-120317,-425,12,739
425809000,-124567,-425,12,750
425819000,-128816,-425,12,759
425829000,-133066,-425,12,792
425839000,-137316,-425,12,796
425849000,-141566,-425,12,767
425859000,-145816,-425,12,768
425869000,-150064,-425,12,780
425879000,-154312,-425,11,771
425889000,-158561,-425,11,770
425899000,-162809,-425,11,783
425909000,-167056,-425,11,779
425919000,-171303,-425,11,815
425929000,-175550,-425,11,808
425939000,-179798,-425,11,823
425949000,-184045,-425,11,715
425959000,-188293,-425,11,700
425969000,-192540,-425,11,685
425979000,-196789,-425,11,753
425989000,-201039,-425,11,791
425999000,-205286,-425,11,815
426009000,-209534,-425,11,814
426019000,-213783,-425,11,778
426029000,-218033,-425,11,777
426039000,-222283,-425,11,779
426049000,-226532,-425,11,813
426059000,-230782,-425,11,811
426069000,-235033,-425,11,802
426079000,-239284,-425,11,765
426089000,-243534,-425,11,753
426099000,-247784,-425,11,760
426109000,-252031,-425,11,778
426119000,-256277,-425,11,733
426129000,-260524,-425,11,732
426139000,-264772,-425,11,729
426149000,-269020,-425,11,729
426159000,-273268,-425,10,681
426169000,-277515,-425,10,685
426179000,-281763,-425,10,683
426189000,-286010,-425,10,712
426199000,-290258,-425,10,712
426209000,-294505,-425,10,739
426219000,-298753,-425,10,737
426229000,-303000,-425,10,688
426239000,-307248,-425,10,726
426249000,-311495,-425,10,731
426259000,-315743,-425,10,753
426269000,-319990,-425,10,790
426279000,-324236,-425,11,796
426289000,-328482,-425,11,812
426299000,-332728,-425,11,799
426309000,-336976,-425,11,795
426319000,-341222,-425,11,757
426329000,-345470,-425,11,766
426339000,-349717,-425,11,774
426349000,-353965,-425,11,767
426359000,-358212,-425,11,760
426369000,-362459,-425,11,760
426379000,-366706,-424,11,761
426389000,-370953,-425,11,760
426399000,-375201,-425,12,748
426409000,-379448,-425,12,746
426419000,-383694,-424,12,746
426429000,-387942,-425,12,751
426439000,-392189,-425,12,757
426449000,-396437,-425,12,769
426459000,-400684,-425,12,769
426469000,-404930,-425,12,768
426479000,-409177,-425,12,752
426489000,-413424,-424,12,734
426499000,-417671,-424,12,721
426509000,-421917,-425,12,720
426519000,-426163,-425,12,700
426529000,-430409,-425,12,687
426539000,-434655,-425,12,683
426549000,-438899,-424,11,701
426559000,-443142,-424,11,710
426569000,-447386,-425,11,695
426579000,-451630,-424,11,708
426589000,-455874,-424,11,720
426599000,-460119,-424,11,734
426609000,-464365,-425,12,741
426619000,-468610,-424,12,754
426629000,-472853,-424,12,763
426639000,-477097,-424,12,782
426649000,-481340,-424,13,789
426659000,-485583,-424,13,747
426669000,-489827,-424,13,755
426679000,-494068,-424,13,892
426689000,-498309,-424,14,926
426699000,-502550,-424,14,818
426709000,-506792,-424,14,793
426719000,-511035,-424,14,778
426729000,-515277,-424,14,747
426739000,-519519,-424,14,738
426749000,-523759,-424,14,748
426759000,-528000,-424,14,739
426769000,-532241,-424,14,743
426779000,-536482,-424,14,728
426789000,-540724,-424,14,749
426799000,-544965,-424,14,722
426809000,-549204,-424,14,743
426819000,-553443,-424,14,752
426829000,-557684,-424,14,741
426839000,-561924,-424,14,740
426849000,-566164,-424,14,740
426859000,-570403,-424,14,727
426869000,-574641,-424,14,735
426879000,-578879,-424,14,723
426889000,-583117,-424,14,717
426899000,-587355,-424,14,706
426909000,-591593,-424,14,701
426919000,-595833,-424,14,713
426929000,-600071,-424,14,724
426939000,-604309,-424,14,728
426949000,-608549,-424,13,726
426959000,-612788,-424,13,720
426969000,-617026,-424,13,718
426979000,-621264,-424,13,729
426989000,-625502,-424,13,732
426999000,-629739,-424,13,731
427009000,-633976,-424,13,758
427019000,-638214,-424,13,750
427029000,-642453,-424,13,687
427039000,-646690,-424,12,635
427049000,-650927,-424,12,638
427059000,-655163,-424,11,635
427069000,-659401,-424,11,632
427079000,-663637,-424,11,648
427089000,-667873,-424,10,654
427099000,-672110,-424,10,651
427109000,-676344,-423,10,622
427119000,-680579,-424,10,640
427129000,-684814,-424,10,634
427139000,-689049,-423,10,634
427149000,-693282,-424,10,627
427159000,-697516,-423,10,647
427169000,-701750,-423,10,632
427179000,-705984,-424,10,685
427189000,-710218,-423,11,685
427199000,-714452,-424,11,720
427209000,-718686,-423,11,706
427219000,-722919,-423,11,724
427229000,-727153,-423,11,702
427239000,-731386,-423,12,698
427249000,-735619,-423,12,710
427259000,-739853,-423,12,713
427269000,-744086,-423,12,712
427279000,-748319,-423,12,726
427289000,-752552,-423,13,810
427299000,-756785,-423,13,842
427309000,-761018,-423,14,832
427319000,-765253,-423,14,818
427329000,-769487,-423,15,830
427339000,-773721,-423,15,844
427349000,-777957,-424,15,770
427359000,-782192,-424,15,908
427369000,-786428,-423,16,878
427379000,-790663,-423,16,821
427389000,-794896,-423,16,818
427399000,-799131,-423,16,830
427409000,-803366,-423,16,789
427419000,-807601,-423,16,779
427429000,-811835,-423,16,807
427439000,-816067,-423,16,771
427449000,-820300,-423,16,713
427459000,-824534,-423,16,728
427469000,-828768,-423,16,722
427479000,-833002,-423,15,726
427489000,-837236,-423,15,725
427499000,-841470,-423,15,719
427509000,-845701,-423,14,717
427519000,-849934,-423,14,730
427529000,-854165,-423,14,732
427539000,-858396,-423,14,745
427549000,-862627,-423,14,703
427559000,-866858,-423,14,791
427569000,-871087,-423,14,802
427579000,-875317,-423,14,827
427589000,-879546,-423,13,815
427599000,-883776,-423,13,839
427609000,-888005,-423,13,791
427619000,-892233,-423,13,806
427629000,-896462,-423,13,822
427639000,-900691,-423,13,822
427649000,-904920,-423,13,865
427659000,-909150,-423,13,896
427669000,-913380,-423,13,878
427679000,-917611,-423,13,849
427689000,-921840,-423,13,838
427699000,-926070,-423,13,862
427709000,-930300,-423,13,900
427719000,-934530,-423,13,1044
427729000,-938761,-423,14,1064
427739000,-942993,-423,14,1062
427749000,-947224,-423,15,1072
427759000,-951455,-423,15,1047
427769000,-955686,-423,16,1091
427779000,-959918,-423,17,1095
427789000,-964150,-423,17,1083
427799000,-968383,-423,17,930
427809000,-972616,-423,16,934
427819000,-976848,-423,16,959
427829000,-981079,-423,17,1113
427839000,-985310,-423,18,1217
427849000,-989538,-423,18,1123
427859000,-993767,-423,19,1182
427869000,-997993,-423,19,1156
427879000,-2222,-423,19,1165
427889000,-6450,-423,20,1136
427899000,-10678,-423,20,1023
427909000,-14904,-423,20,978
427919000,-19130,-423,20,871
427929000,-23355,-423,19,858
427939000,-27579,-423,19,889
427949000,-31802,-422,19,792
427959000,-36027,-423,19,896
427969000,-40253,-423,18,828
427979000,-44480,-422,18,973
427989000,-48705,-423,18,899
427999000,-52931,-423,18,924
428009000,-57157,-423,18,1042
428019000,-61383,-423,19,1006
428029000,-65611,-423,19,896
428039000,-69839,-423,19,888
428049000,-74067,-423,19,879
428059000,-78297,-423,19,831
428069000,-82525,-423,18,785
428079000,-86752,-423,18,770
428089000,-90980,-423,17,773
428099000,-95208,-423,16,758
428109000,-99436,-423,16,748
428119000,-103664,-423,16,792
428129000,-107891,-423,15,744
428139000,-112118,-423,15,768
428149000,-116347,-423,15,754
428159000,-120575,-423,15,774
428169000,-124803,-423,15,773
428179000,-129030,-423,15,787
428189000,-133257,-423,15,792
428199000,-137484,-423,15,707
428209000,-141710,-423,15,731
428219000,-145936,-423,14,884
428229000,-150161,-423,15,896
428239000,-154389,-423,15,885
428249000,-158616,-423,15,883
428259000,-162843,-423,15,888
428269000,-167070,-423,15,886
428279000,-171295,-423,15,803
428289000,-175519,-423,15,770
428299000,-179744,-423,15,720
428309000,-183969,-423,15,782
428319000,-188194,-423,15,745
428329000,-192419,-423,15,780
428339000,-196644,-423,15,788
428349000,-200871,-423,15,787
428359000,-205097,-423,15,787
428369000,-209324,-423,15,711
428379000,-213552,-423,15,725
428389000,-217780,-423,15,796
428399000,-222007,-423,15,807
428409000,-226235,-423,15,809
428419000,-230463,-423,16,875
428429000,-234691,-423,16,867
428439000,-238919,-423,17,876
428449000,-243149,-423,17,866
428459000,-247378,-423,17,866
428469000,-251608,-423,17,921
428479000,-255839,-423,18,974
428489000,-260071,-423,18,881
428499000,-264302,-423,18,861
428509000,-268533,-423,18,847
428519000,-272764,-423,18,944
428529000,-276996,-423,18,945
428539000,-281228,-423,18,939
428549000,-285460,-423,18,843
428559000,-289691,-423,18,834
428569000,-293923,-423,17,824
428579000,-298154,-423,17,816
428589000,-302385,-423,17,800
428599000,-306615,-423,17,799
428609000,-310844,-423,17,800
428619000,-315073,-423,17,801
428629000,-319301,-423,16,712
428639000,-323531,-423,16,769
428649000,-327760,-423,16,765
428659000,-331989,-423,15,762
428669000,-336220,-423,15,691
428679000,-340449,-423,15,718
428689000,-344679,-423,15,738
428699000,-348909,-423,15,806
428709000,-353139,-423,15,743
428719000,-357367,-423,14,815
428729000,-361596,-423,14,800
428739000,-365825,-423,15,792
428749000,-370053,-423,15,792
428759000,-374283,-423,15,784
428769000,-378513,-423,14,785
428779000,-382742,-423,14,770
428789000,-386971,-423,14,792
428799000,-391200,-423,14,770
428809000,-395430,-423,14,758
428819000,-399659,-423,14,763
428829000,-403890,-423,14,771
428839000,-408121,-423,13,694
428849000,-412350,-423,13,760
428859000,-416580,-423,13,735
428869000,-420809,-423,13,748
428879000,-425038,-423,13,790
428889000,-429266,-423,13,813
428899000,-433493,-423,14,886
428909000,-437722,-423,14,889
428919000,-441951,-423,14,904
428929000,-446179,-423,14,894
428939000,-450406,-423,14,888
428949000,-454634,-423,15,915
428959000,-458863,-423,15,927
428969000,-463091,-423,15,923
428979000,-467318,-423,15,886
428989000,-471546,-423,15,887
428999000,-475775,-423,15,910
429009000,-480003,-423,15,799
429019000,-484230,-423,15,793
429029000,-488457,-423,15,777
429039000,-492685,-423,14,787
429049000,-496913,-423,14,786
429059000,-501140,-423,14,702
429069000,-505368,-423,14,697
429079000,-509597,-423,14,693
429089000,-513825,-423,14,731
429099000,-518053,-423,13,690
429109000,-522281,-423,13,686
429119000,-526508,-423,13,685
429129000,-530735,-423,13,696
429139000,-534962,-423,13,703
429149000,-539189,-423,13,705
429159000,-543416,-423,13,692
429169000,-547641,-423,13,704
429179000,-551867,-423,12,744
429189000,-556094,-423,12,739
429199000,-560319,-423,12,800
429209000,-564546,-423,12,814
429219000,-568773,-423,12,815
429229000,-573001,-423,12,728
429239000,-577229,-423,12,712
429249000,-581457,-423,11,717
429259000,-585685,-423,11,709
429269000,-589912,-423,10,711
429279000,-594141,-423,10,702
429289000,-598369,-423,9,684
429299000,-602596,-423,9,683
429309000,-606824,-423,9,656
429319000,-611052,-423,8,657
429329000,-615279,-423,8,661
429339000,-619509,-423,9,660
429349000,-623738,-423,8,647
429359000,-627966,-423,8,659
429369000,-632196,-423,9,668
429379000,-636424,-423,9,682
429389000,-640652,-423,9,675
429399000,-644881,-423,9,693
429409000,-649110,-423,9,686
429419000,-653339,-423,9,685
429429000,-657568,-423,9,681
429439000,-661796,-423,9,709
429449000,-666024,-423,9,694
429459000,-670253,-423,9,684
429469000,-674481,-423,9,703
429479000,-678709,-423,8,655
429489000,-682936,-423,8,660
429499000,-687164,-423,8,687
429509000,-691392,-423,8,686
429519000,-695620,-423,8,647
429529000,-699848,-423,8,663
429539000,-704076,-423,8,690
429549000,-708305,-423,8,679
429559000,-712535,-423,8,682
429569000,-716766,-423,8,680
429579000,-720996,-423,8,701
429589000,-725226,-423,8,696
429599000,-729455,-423,8,671
429609000,-733684,-423,8,699
429619000,-737912,-423,8,707
429629000,-742143,-423,8,728
429639000,-746372,-423,8,746
429649000,-750600,-423,8,739
429659000,-754829,-423,8,728
429669000,-759057,-423,8,716
429679000,-763286,-423,8,714
429689000,-767513,-423,8,739
429699000,-771742,-423,8,758
429709000,-775971,-423,8,757
429719000,-780201,-423,8,757
429729000,-784432,-423,8,769
429739000,-788663,-423,8,797
429749000,-792894,-423,9,796
429759000,-797125,-423,9,768
429769000,-801355,-423,9,765
429779000,-805586,-423,9,741
429789000,-809816,-423,9,732
429799000,-814045,-423,9,689
429809000,-818275,-423,9,695
429819000,-822505,-423,9,686
429829000,-826735,-423,9,680
429839000,-830964,-423,9,691
429849000,-835194,-423,9,688
429859000,-839425,-423,8,673
429869000,-843656,-423,8,693
429879000,-847885,-423,8,672
429889000,-852115,-423,8,699
429899000,-856344,-423,8,675
429909000,-860574,-423,8,687
429919000,-864802,-423,8,708
429929000,-869031,-423,8,712
429939000,-873260,-423,8,717
429949000,-877489,-423,8,712
429959000,-881718,-423,8,703
429969000,-885947,-423,8,689
429979000,-890178,-423,7,674
429989000,-894409,-423,7,652
429999000,-898640,-423,8,649
430009000,-902871,-423,8,761
430019000,-907103,-423,8,766
430029000,-911335,-423,9,795
430039000,-915567,-423,9,755
430049000,-919798,-423,9,750
430059000,-924028,-423,9,748
430069000,-928259,-423,9,794
430079000,-932489,-423,9,686
430089000,-936719,-423,9,695
430099000,-940951,-423,8,693
430109000,-945181,-423,8,702
430119000,-949411,-423,8,695
430129000,-953640,-423,8,707
430139000,-957873,-423,8,693
430149000,-962105,-423,7,726
430159000,-966337,-423,7,697
430169000,-970570,-423,8,726
430179000,-974801,-423,8,743
430189000,-979032,-423,8,751
430199000,-983261,-423,8,765
430209000,-987490,-423,8,754
430219000,-991718,-423,9,706
430229000,-995946,-423,9,754
430239000,-1000176,-423,9,764
430249000,-4405,-423,9,761
430259000,-8634,-423,10,762
430269000,-12861,-423,10,766
430279000,-17091,-423,10,800
430289000,-21320,-423,10,805
430299000,-25550,-423,10,809
430309000,-29781,-423,10,803
430319000,-34011,-423,10,804
430329000,-38243,-423,11,798
430339000,-42474,-423,11,782
430349000,-46703,-423,11,765
430359000,-50935,-423,11,752
430369000,-55167,-423,11,750
430379000,-59401,-423,11,756
430389000,-63632,-423,10,784
430399000,-67862,-423,9,790
430409000,-72092,-423,9,793
430419000,-76322,-423,9,796
430429000,-80552,-423,9,762
430439000,-84782,-423,9,761
430449000,-89014,-423,9,802
430459000,-93244,-423,9,753
430469000,-97474,-423,9,746
430479000,-101704,-423,10,756
430489000,-105937,-423,10,757
430499000,-110167,-423,10,750
430509000,-114396,-423,10,756
430519000,-118627,-423,10,755
430529000,-122856,-423,11,824
430539000,-127086,-423,11,839
430549000,-131315,-423,11,819
430559000,-135545,-423,12,785
430569000,-139773,-423,12,759
430579000,-144002,-423,12,779
430589000,-148228,-423,12,797
430599000,-152455,-423,12,796
430609000,-156681,-423,12,792
430619000,-160908,-423,12,800
430629000,-165135,-423,12,781
430639000,-169362,-423,12,763
430649000,-173589,-423,12,770
430659000,-177816,-423,12,774
430669000,-182044,-423,12,764
430679000,-186274,-423,12,753
430689000,-190504,-423,12,765
430699000,-194733,-423,12,777
430709000,-198963,-423,12,792
430719000,-203192,-423,12,796
430729000,-207424,-423,13,775
430739000,-211652,-423,13,779
430749000,-215882,-423,13,820
430759000,-220115,-423,14,828
430769000,-224346,-423,14,842
430779000,-228576,-423,14,841
430789000,-232808,-423,14,847
430799000,-237039,-423,15,838
430809000,-241270,-423,15,831
430819000,-245501,-423,15,827
430829000,-249732,-423,15,833
430839000,-253962,-423,15,831
430849000,-258189,-423,14,871
430859000,-262415,-423,14,867
430869000,-266641,-423,14,872
430879000,-270869,-423,14,863
430889000,-275098,-423,14,862
430899000,-279327,-423,14,818
430909000,-283557,-423,14,833
430919000,-287787,-423,15,844
430929000,-292017,-423,15,856
430939000,-296247,-423,15,845
430949000,-300478,-423,15,839
430959000,-304708,-423,16,866
430969000,-308939,-423,16,846
430979000,-313169,-423,16,852
430989000,-317401,-423,16,856
430999000,-321632,-423,17,852
431009000,-325862,-423,17,844
431019000,-330094,-423,17,811
431029000,-334326,-423,15,787
431039000,-338555,-423,14,808
431049000,-342784,-423,14,814
431059000,-347013,-423,14,892
431069000,-351245,-423,14,951
431079000,-355477,-423,14,961
431089000,-359707,-423,14,953
431099000,-363936,-423,14,969
431109000,-368166,-423,14,944
431119000,-372397,-423,14,944
431129000,-376629,-423,15,932
431139000,-380860,-423,15,788
431149000,-385092,-423,14,777
431159000,-389323,-423,14,764
431169000,-393553,-423,14,767
431179000,-397786,-423,14,876
431189000,-402018,-423,14,898
431199000,-406249,-423,14,846
431209000,-410481,-423,14,900
431219000,-414712,-423,14,882
431229000,-418941,-423,14,793
431239000,-423169,-423,13,776
431249000,-427399,-423,13,781
431259000,-431630,-423,13,790
431269000,-435861,-423,14,810
431279000,-440093,-423,14,803
431289000,-444324,-423,14,787
431299000,-448556,-423,14,770
431309000,-452788,-423,14,785
431319000,-457020,-423,14,833
431329000,-461254,-423,14,850
431339000,-465488,-423,14,817
431349000,-469721,-423,15,816
431359000,-473955,-423,15,841
431369000,-478187,-423,15,806
431379000,-482419,-423,15,806
431389000,-486649,-423,15,778
431399000,-490879,-423,14,771
431409000,-495110,-423,14,779
431419000,-499342,-423,14,763
431429000,-503575,-423,14,755
431439000,-507805,-423,13,763
431449000,-512036,-423,13,772
431459000,-516269,-423,13,815
431469000,-520501,-423,13,809
431479000,-524734,-423,13,802
431489000,-528965,-423,13,790
431499000,-533196,-423,13,776
431509000,-537426,-423,13,795
431519000,-541656,-423,13,959
431529000,-545887,-423,13,1020
431539000,-550118,-423,14,850
431549000,-554348,-423,13,826
431559000,-558576,-423,13,778
431569000,-562805,-423,13,772
431579000,-567032,-423,13,779
431589000,-571260,-423,12,840
431599000,-575490,-423,12,798
431609000,-579721,-423,13,974
431619000,-583951,-423,13,960
431629000,-588180,-423,14,981
431639000,-592410,-423,14,932
431649000,-596640,-423,14,945
431659000,-600871,-423,14,899
431669000,-605101,-423,14,903
431679000,-609332,-423,14,913
431689000,-613562,-423,14,897
431699000,-617792,-423,14,968
431709000,-622024,-423,14,905
431719000,-626258,-423,14,860
431729000,-630492,-423,14,913
431739000,-634724,-423,14,907
431749000,-638956,-423,14,902
