svId,freqId,gpsTOW,rcvTOW,iTOW,clkBias,clkDrift,t_tx,WN,geoRange,satClockBias,rcvClockBias,relBias,biases,pseudorange,rangeDiff,troposphericDelay
G01,L1 C,225144.983635048,225144.992,225145.0,-364948,514,225144.903103112,2394,24142867.1100305,106066.061012151,-2507749.55519738,-0.539421346730568,-2613815.07678818,21529098.4491506,-2613768.66087989,46.4159082905389
G01,L1 C,225145.983635562,225145.992,225146.0,-364434,514,225145.903104135,2394,24142714.2673781,106066.060752272,-2507595.46187397,-0.539346437260985,-2613660.9832798,21529099.681834,-2613614.58554419,46.3977356124669
G01,L1 C,225146.983636075,225146.992,225147.0,-363921,514,225146.903105158,2394,24142561.530224,106066.060492393,-2507441.66834301,-0.539271516343132,-2613507.18956389,21529101.0788286,-2613460.45139546,46.738168428652
G01,L1 C,225147.983636589,225147.992,225148.0,-363407,514,225147.903106181,2394,24142408.898569,106066.060232514,-2507287.5750196,-0.539196583978456,-2613353.09605553,21529102.5538606,-2613306.3447084,46.7513471310958
G01,L1 C,225148.983637103,225148.992,225149.0,-362893,514,225148.903107204,2394,24142256.3724143,106066.059972635,-2507133.48169619,-0.539121640168622,-2613199.00254718,21529104.2606315,-2613152.11178283,46.8907643551938
G01,L1 C,225149.983637617,225149.992,225150.0,-362379,514,225149.903108226,2394,24142103.9517612,106066.059712756,-2506979.38837278,-0.539046684915231,-2613044.90903885,21529105.9653084,-2612997.98645283,46.9225860210136
G01,L1 C,225150.98363813,225150.992,225151.0,-361866,514,225150.903109247,2394,24141951.6366109,106066.059452877,-2506825.59484182,-0.538971718219949,-2612891.11532298,21529107.7145182,-2612843.92209271,47.1932302704081
G01,L1 C,225151.983638644,225151.992,225152.0,-361352,514,225151.903110269,2394,24141799.4269643,106066.059192998,-2506671.50151841,-0.538896740084222,-2612737.02181467,21529109.560472,-2612689.86649231,47.1553223547526
G01,L1 C,225152.983639158,225152.992,225153.0,-360838,514,225152.90311129,2394,24141647.3228228,106066.058933119,-2506517.408195,-0.538821750509723,-2612582.92830637,21529111.4166168,-2612535.90620599,47.0221003806219
G01,L1 C,225153.983639671,225153.992,225154.0,-360325,514,225153.90311231,2394,24141495.3241875,106066.05867324,-2506363.61466404,-0.538746749498118,-2612429.13459053,21529113.2842089,-2612382.03997859,47.0946119441651
G01,L1 C,225154.983640185,225154.992,225155.0,-359811,514,225154.903113331,2394,24141343.4310593,106066.058413361,-2506209.52134063,-0.538671737050857,-2612275.04108226,21529115.3877279,-2612228.0433314,46.9977508517914
G01,L1 C,225155.983640699,225155.992,225156.0,-359297,514,225155.903114351,2394,24141191.6434396,106066.058153482,-2506055.42801722,-0.538596713169607,-2612120.94757399,21529117.559931,-2612074.08350854,46.8640654445626
G01,L1 C,225156.983641213,225156.992,225157.0,-358783,514,225156.903115371,2394,24141039.9613294,106066.057893603,-2505901.33469381,-0.538521677855968,-2611966.85406573,21529119.994027,-2611919.96730236,46.8867633766495
G01,L1 C,225157.983641726,225157.992,225158.0,-358270,514,225157.90311639,2394,24140888.3847299,106066.057633724,-2505747.54116285,-0.538446631111613,-2611813.06034995,21529122.4205845,-2611765.96414547,47.0962044796906
G01,L1 C,225158.98364224,225158.992,225159.0,-357756,514,225158.903117409,2394,24140736.9136422,106066.057373845,-2505593.44783944,-0.538371572937985,-2611658.96684171,21529124.8819028,-2611612.03173937,46.9351023407653
G01,L1 C,225159.983642753,225159.992,225160.0,-357243,514,225159.903118427,2394,24140585.5480674,106066.057113966,-2505439.65430849,-0.538296503336829,-2611505.17312595,21529127.5280538,-2611458.02001358,47.1531123714522
G01,L1 C,225160.983643267,225160.992,225161.0,-356729,514,225160.903119446,2394,24140434.2880065,106066.056854087,-2505285.56098508,-0.538221422309598,-2611351.07961774,21529129.9917454,-2611304.2962611,46.7833566418849
G01,L1 C,225161.98364378,225161.992,225162.0,-356216,513,225161.903120463,2394,24140283.1334608,106066.056594208,-2505131.76505578,-0.53814632985804,-2611197.28350366,21529132.6660959,-2611150.46736485,46.8161388081498
G01,L1 C,225162.983644294,225162.992,225163.0,-355702,514,225162.903121481,2394,24140132.0844311,106066.056334329,-2504977.67413071,-0.538071225983599,-2611043.19239381,21529135.4524071,-2610996.63202402,46.5603697961196
G01,L1 C,225163.983644807,225163.992,225164.0,-355189,514,225163.903122497,2394,24139981.1409189,106066.05607445,-2504823.88059976,-0.537996110688023,-2610889.3986781,21529138.3469096,-2610842.79400925,46.6046688454226
G01,L1 C,225164.983645321,225164.992,225165.0,-354675,513,225164.903123514,2394,24139830.3029248,106066.055814571,-2504669.784878,-0.537920983972762,-2610735.30277159,21529141.4421594,-2610688.86076538,46.4420062121935
G01,L1 C,225165.983645834,225165.992,225166.0,-354162,513,225165.90312453,2394,24139679.5704503,106066.055554692,-2504515.99134705,-0.537845845839568,-2610581.5090559,21529144.5804066,-2610534.99004374,46.5190121550113
G01,L1 C,225166.983646348,225166.992,225167.0,-353648,514,225166.903125547,2394,24139528.9434962,106066.055294813,-2504361.90042198,-0.537770696289882,-2610427.41794609,21529147.8477854,-2610381.09571084,46.3222352536395
G01,L1 C,225167.983646861,225167.992,225168.0,-353135,513,225167.903126562,2394,24139378.4220638,106066.055034934,-2504208.10449268,-0.53769553532546,-2610273.62183208,21529151.1307995,-2610227.2912643,46.3305677864701
G01,L1 C,225168.983647375,225168.992,225169.0,-352621,514,225168.903127577,2394,24139228.0061539,106066.054775055,-2504054.01356761,-0.537620362947748,-2610119.5307223,21529154.4562526,-2610073.54990129,45.980821011588
G01,L1 C,225169.983647888,225169.992,225170.0,-352108,514,225169.903128592,2394,24139077.6957678,106066.054515176,-2503900.22003666,-0.537545179158496,-2609965.73700665,21529158.0818495,-2609919.61391837,46.123088282533
G01,L1 C,225170.983648402,225170.992,225171.0,-351594,513,225170.903129607,2394,24138927.4909063,106066.054255297,-2503746.12431491,-0.537469983959153,-2609811.64110022,21529161.9009343,-2609765.58997203,46.0511281881481
G01,L1 C,225171.983648915,225171.992,225172.0,-351081,513,225171.903130621,2394,24138777.3915708,106066.053995418,-2503592.33078395,-0.537394777351468,-2609657.84738459,21529165.6495203,-2609611.74205053,46.1053340639919
G01,L1 C,225172.983649429,225172.992,225173.0,-350567,513,225172.903131635,2394,24138627.397762,106066.053735539,-2503438.23746054,-0.537319559336896,-2609503.75387652,21529169.5622779,-2609457.83548405,45.9183924729005
G01,L1 C,225173.983649942,225173.992,225174.0,-350054,513,225173.903132648,2394,24138477.5094811,106066.05347566,-2503284.44392959,-0.537244329917185,-2609349.96016092,21529173.4232433,-2609304.08623782,45.8739230982028
G01,L1 C,225174.983650455,225174.992,225175.0,-349541,513,225174.90313366,2394,24138327.7267292,106066.053215781,-2503130.65039863,-0.537169089093859,-2609196.16644532,21529177.5120387,-2609150.21469046,45.951754861977
G01,L1 C,225175.983650968,225175.992,225176.0,-349028,513,225175.903134673,2394,24138178.0495072,106066.052955902,-2502976.85686768,-0.537093836868525,-2609042.37272974,21529181.6501135,-2608996.39939364,45.973336102441
G01,L1 C,225176.983651481,225176.992,225177.0,-348515,513,225176.903135685,2394,24138028.4778161,106066.052696023,-2502823.06333672,-0.537018573242774,-2608888.57901417,21529185.8882828,-2608842.58953327,45.9894809005782
G01,L1 C,225177.983651994,225177.992,225178.0,-348002,513,225177.903136696,2394,24137879.011657,106066.052436144,-2502669.26980577,-0.536943298218216,-2608734.78529862,21529190.1820136,-2608688.8296434,45.9556552167051
G01,L1 C,225178.983652507,225178.992,225179.0,-347489,513,225178.903137707,2394,24137729.6510309,106066.052176265,-2502515.47627482,-0.536868011796449,-2608580.99158307,21529194.5828189,-2608535.06821196,45.9233711110428
G01,L1 C,225179.98365302,225179.992,225180.0,-346976,513,225179.903138718,2394,24137580.3959387,106066.051916386,-2502361.68274386,-0.536792713979078,-2608427.19786753,21529199.0842771,-2608381.31166164,45.8862058920786
G01,L1 C,225180.983653533,225180.992,225181.0,-346463,513,225180.903139729,2394,24137431.2463815,106066.051656507,-2502207.88921291,-0.536717404767699,-2608273.40415201,21529203.7038383,-2608227.54254321,45.8616088004783
G01,L1 C,225181.983654047,225181.992,225182.0,-345949,513,225181.90314074,2394,24137282.2023602,106066.051396628,-2502053.7958895,-0.536642084163845,-2608119.31064404,21529208.4081378,-2608073.79422237,45.5164216733538
G01,L1 C,225182.98365456,225182.992,225183.0,-345436,513,225182.90314175,2394,24137133.2638759,106066.051136749,-2501900.00235854,-0.536566752169269,-2607965.51692854,21529213.1961984,-2607920.06767759,45.4492509514093
G01,L1 C,225183.983655073,225183.992,225184.0,-344923,513,225183.903142759,2394,24136984.4309297,106066.05087687,-2501746.20882759,-0.536491408785495,-2607811.72321305,21529218.1604363,-2607766.27049336,45.4527196907438
G01,L1 C,225184.983655586,225184.992,225185.0,-344410,513,225184.903143768,2394,24136835.7035223,106066.050616991,-2501592.41529663,-0.536416054014129,-2607657.92949757,21529223.2524098,-2607612.45111246,45.4783851103857
G01,L1 C,225185.983656099,225185.992,225186.0,-343897,513,225185.903144777,2394,24136687.0816548,106066.050357112,-2501438.62176568,-0.536340687856772,-2607504.1357821,21529228.4381957,-2607458.64345909,45.4923230181448
G01,L1 C,225186.983656612,225186.992,225187.0,-343384,513,225186.903145785,2394,24136538.5653282,106066.050097233,-2501284.82823473,-0.536265310315031,-2607350.34206665,21529233.616862,-2607304.94846627,45.3936003772542
G01,L1 C,225187.983657125,225187.992,225188.0,-342871,513,225187.903146793,2394,24136390.1545435,106066.049837354,-2501131.03470377,-0.536189921390508,-2607196.5483512,21529238.9934835,-2607151.16106001,45.387291199062
G01,L1 C,225188.983657638,225188.992,225189.0,-342358,513,225188.903147801,2394,24136241.8493015,106066.049577475,-2500977.24117282,-0.536114521084804,-2607042.75463577,21529244.4231536,-2606997.42614788,45.3284878940322
G01,L1 C,225189.983658151,225189.992,225190.0,-341845,513,225189.903148808,2394,24136093.6496033,106066.049317596,-2500823.44764186,-0.536039109399532,-2606888.96092035,21529249.9961947,-2606843.65340852,45.3075118307024
G01,L1 C,225190.983658664,225190.992,225191.0,-341332,513,225190.903149815,2394,24135945.5554497,106066.049057717,-2500669.65411091,-0.535963686336287,-2606735.16720494,21529255.7239146,-2606689.83153508,45.3356698583812
G01,L1 C,225191.983659177,225191.992,225192.0,-340819,513,225191.903150822,2394,24135797.5668418,106066.048797838,-2500515.86057996,-0.535888251896679,-2606581.37348954,21529261.571692,-2606535.99514981,45.3783397320658
G01,L1 C,225192.983659689,225192.992,225193.0,-340307,513,225192.903151827,2394,24135649.6837806,106066.048537959,-2500362.36684146,-0.535812806082386,-2606427.87956661,21529267.31407,-2606382.36971055,45.5098560634069
G01,L1 C,225193.983660202,225193.992,225194.0,-339794,513,225193.903152833,2394,24135501.9062667,106066.04827808,-2500208.57331051,-0.535737348894866,-2606274.08585124,21529273.2188049,-2606228.68746184,45.398389398586
G01,L1 C,225194.983660715,225194.992,225195.0,-339281,513,225194.903153839,2394,24135354.2343013,106066.048018201,-2500054.77977955,-0.535661880335796,-2606120.29213587,21529279.2592327,-2606074.97506863,45.3170672398992
G01,L1 C,225195.983661227,225195.992,225196.0,-338769,513,225195.903154843,2394,24135206.6678854,106066.047758322,-2499901.28604106,-0.53558640040686,-2605966.79821298,21529285.3433558,-2605921.32452961,45.4736833702773
G01,L1 C,225196.98366174,225196.992,225197.0,-338256,513,225196.903155848,2394,24135059.2070196,106066.047498443,-2499747.4925101,-0.535510909109516,-2605813.00449764,21529291.5549353,-2605767.65208429,45.3524133409373
G01,L1 C,225197.983662253,225197.992,225198.0,-337743,513,225197.903156853,2394,24134911.851705,106066.047238564,-2499593.69897915,-0.535435406445436,-2605659.21078231,21529297.8177486,-2605614.03395631,45.1768259936944
G01,L1 C,225198.983662765,225198.992,225199.0,-337231,513,225198.903157856,2394,24134764.6019426,106066.046978685,-2499440.20524065,-0.535359892416312,-2605505.71685944,21529304.2257478,-2605460.37619476,45.3406646805815
G01,L1 C,225199.983663278,225199.992,225200.0,-336718,513,225199.90315886,2394,24134617.457733,106066.046718806,-2499286.4117097,-0.535284367023592,-2605351.92314414,21529310.8921498,-2605306.56558321,45.357560930308
G01,L1 C,225200.983663791,225200.992,225201.0,-336205,513,225200.903159863,2394,24134470.4190773,106066.046458927,-2499132.61817874,-0.535208830268966,-2605198.12942884,21529317.6520849,-2605152.76699236,45.3624364840798
G01,L1 C,225201.983664304,225201.992,225202.0,-335692,513,225201.903160866,2394,24134323.4859764,106066.046199048,-2498978.82464779,-0.535133282154032,-2605044.33571356,21529324.3990371,-2604999.08693925,45.2487743105739
G01,L1 C,225202.983664816,225202.992,225203.0,-335180,513,225202.903161868,2394,24134176.6584312,106066.045939169,-2498825.33090929,-0.535057722680483,-2604890.84179074,21529331.3389189,-2604845.31951232,45.5222784173675
G01,L1 C,225203.983665329,225203.992,225204.0,-334667,513,225203.90316287,2394,24134029.9364425,106066.04567929,-2498671.53737834,-0.534982151849771,-2604737.04807548,21529338.2641425,-2604691.67229997,45.3757755118422
G01,L1 C,225204.983665842,225204.992,225205.0,-334154,513,225204.903163872,2394,24133883.3200111,106066.045419411,-2498517.74384739,-0.534906569663577,-2604583.25436023,21529345.3690336,-2604537.95097756,45.3033826705068
G01,L1 C,225205.983666354,225205.992,225206.0,-333642,513,225205.903164873,2394,24133736.8091382,106066.045159532,-2498364.25010889,-0.534830976123588,-2604429.76043745,21529352.5543352,-2604384.25480296,45.5056344848126
G01,L1 C,225206.983666867,225206.992,225207.0,-333129,512,225206.903165874,2394,24133590.4038243,106066.044899653,-2498210.4541796,-0.534755371231262,-2604275.96432388,21529359.6455453,-2604230.75827896,45.2060449160635
G01,L1 C,225207.983667379,225207.992,225208.0,-332617,512,225207.903166874,2394,24133444.1040705,106066.044639774,-2498056.9604411,-0.534679754988356,-2604122.47040112,21529366.9599786,-2604077.14409189,45.3263092264533
G01,L1 C,225208.983667891,225208.992,225209.0,-332105,512,225208.903167874,2394,24133297.9098775,106066.044379895,-2497903.4667026,-0.534604127396404,-2603968.97647837,21529374.2906057,-2603923.61927187,45.3572064973414
G01,L1 C,225209.983668403,225209.992,225210.0,-331593,512,225209.903168873,2394,24133151.8212463,106066.044120016,-2497749.97296411,-0.534528488457016,-2603815.48255564,21529381.6592044,-2603770.16204187,45.320513763465
G01,L1 C,225210.983668916,225210.992,225211.0,-331080,512,225210.903169873,2394,24133005.8381774,106066.043860137,-2497596.17943315,-0.534452838171728,-2603661.68884045,21529389.3227816,-2603616.51539579,45.1734446659684
G01,L1 C,225211.983669428,225211.992,225212.0,-330568,512,225211.903170872,2394,24132859.9606721,106066.043600258,-2497442.68569466,-0.534377176542296,-2603508.19491774,21529396.9633246,-2603462.9973475,45.1975702396594
G01,L1 C,225212.98366994,225212.992,225213.0,-330056,512,225212.90317187,2394,24132714.1887309,106066.043340379,-2497289.19195616,-0.534301503570258,-2603354.70099504,21529404.8735781,-2603309.31515287,45.385842165444
G01,L1 C,225213.983670452,225213.992,225214.0,-329544,512,225213.903172868,2394,24132568.5223548,106066.0430805,-2497135.69821767,-0.53422581925722,-2603201.20707235,21529412.8768063,-2603155.64554851,45.5615238393657
G01,L1 C,225214.983670965,225214.992,225215.0,-329031,512,225214.903173867,2394,24132422.9615444,106066.042820621,-2496981.90468671,-0.534150123604723,-2603047.41335721,21529420.9147954,-2603002.04674902,45.3666081922129
G01,L1 C,225215.983671477,225215.992,225216.0,-328519,512,225215.903174864,2394,24132277.5063009,106066.042560742,-2496828.41094822,-0.534074416614523,-2602893.91943454,21529429.1556258,-2602848.35067501,45.5687595289201
G01,L1 C,225216.983671989,225216.992,225217.0,-328007,512,225216.903175861,2394,24132132.1566248,106066.042300863,-2496674.91720972,-0.533998698288157,-2602740.42551188,21529437.3831941,-2602694.77343066,45.652081228327
G01,L1 C,225217.983672502,225217.992,225218.0,-327494,512,225217.903176858,2394,24131986.9125168,106066.042040984,-2496521.12367877,-0.533922968627164,-2602586.63179678,21529445.8013187,-2602541.11119806,45.5205987179652
G01,L1 C,225218.983673014,225218.992,225219.0,-326982,512,225218.903177854,2394,24131841.7739781,106066.041781105,-2496367.62994027,-0.533847227633301,-2602433.13787415,21529454.124933,-2602387.64904511,45.4888290418312
G01,L1 C,225219.983673526,225219.992,225220.0,-326470,512,225219.90317885,2394,24131696.7410093,106066.041521226,-2496214.13620177,-0.533771475308109,-2602279.64395153,21529462.7111381,-2602234.02987114,45.6140803820454
G01,L1 C,225220.983674039,225220.992,225221.0,-325957,512,225220.903179846,2394,24131551.813611,106066.041261347,-2496060.34267082,-0.533695711653117,-2602125.85023646,21529471.3520672,-2602080.46154382,45.3886926346458
G01,L1 C,225221.983674551,225221.992,225222.0,-325445,512,225221.903180842,2394,24131406.9917843,106066.041001468,-2495906.84893232,-0.533619936670096,-2601972.35631386,21529480.0840165,-2601926.90776776,45.4485460943542
G01,L1 C,225222.983675063,225222.992,225223.0,-324933,512,225222.903181836,2394,24131262.2755299,106066.040741589,-2495753.35519383,-0.533544150360579,-2601818.86239127,21529488.9248552,-2601773.35067461,45.5117166563869
G01,L1 C,225223.983675575,225223.992,225224.0,-324421,512,225223.903182831,2394,24131117.6648484,106066.04048171,-2495599.86145533,-0.533468352726177,-2601665.36846869,21529497.8893811,-2601619.7754673,45.593001391273
G01,L1 C,225224.983676087,225224.992,225225.0,-323909,512,225224.903183825,2394,24130973.1597407,106066.040221831,-2495446.36771684,-0.533392543768506,-2601511.87454612,21529506.9056992,-2601466.25404152,45.6205046051182
G01,L1 C,225225.983676599,225225.992,225226.0,-323397,512,225225.903184818,2394,24130828.7602076,106066.039961952,-2495292.87397834,-0.533316723489178,-2601358.38062357,21529516.0254622,-2601312.73474543,45.6458781408146
G01,L1 C,225226.983677111,225226.992,225227.0,-322885,512,225226.903185812,2394,24130684.4662498,106066.039702073,-2495139.38023984,-0.533240891889805,-2601204.88670103,21529525.0740283,-2601159.39222151,45.4944795113988
G01,L1 C,225227.983677623,225227.992,225228.0,-322373,512,225227.903186805,2394,24130540.2778681,106066.039442194,-2494985.88650135,-0.533165048972001,-2601051.39277849,21529534.4217609,-2601005.85610712,45.5366713739932
G01,L1 C,225228.983678135,225228.992,225229.0,-321861,512,225228.903187797,2394,24130396.1950631,106066.039182315,-2494832.39276285,-0.533089194737379,-2600897.89885597,21529543.8271491,-2600852.367914,45.530941973906
G01,L1 C,225229.983678647,225229.992,225230.0,-321349,512,225229.903188789,2394,24130252.2178357,106066.038922436,-2494678.89902436,-0.533013329187555,-2600744.40493346,21529553.3256516,-2600698.89218409,45.5127493697219
G01,L1 C,225230.983679159,225230.992,225231.0,-320837,512,225230.903189781,2394,24130108.3461866,106066.038662557,-2494525.40528586,-0.532937452324143,-2600590.91101096,21529562.8804136,-2600545.46577296,45.4452380044386
G01,L1 C,225231.983679671,225231.992,225232.0,-320325,512,225231.903190773,2394,24129964.5801165,106066.038402678,-2494371.91154736,-0.532861564148756,-2600437.41708848,21529572.6491851,-2600391.93093139,45.4861570922658
G01,L1 C,225232.983680183,225232.992,225233.0,-319813,512,225232.903191764,2394,24129820.9196262,106066.038142799,-2494218.41780887,-0.532785664663006,-2600283.923166,21529582.5107918,-2600238.40883439,45.514331612736
G01,L1 C,225233.983680695,225233.992,225234.0,-319301,512,225233.903192755,2394,24129677.3647163,106066.03788292,-2494064.92407037,-0.532709753868514,-2600130.42924354,21529592.3750509,-2600084.98966542,45.4395781233907
G01,L1 C,225234.983681207,225234.992,225235.0,-318789,512,225234.903193745,2394,24129533.9153876,106066.037623041,-2493911.43033188,-0.532633831766889,-2599976.93532109,21529602.3391252,-2599931.5762624,45.3590586865321
G01,L1 C,225235.983681719,225235.992,225236.0,-318277,512,225235.903194736,2394,24129390.5716408,106066.037363162,-2493757.93659338,-0.532557898359752,-2599823.44139864,21529612.4062256,-2599778.16541517,45.2759834728204
G01,L1 C,225236.983682231,225236.992,225237.0,-317765,512,225236.903195725,2394,24129247.3334766,106066.037103283,-2493604.44285488,-0.532481953648717,-2599669.94747621,21529622.4678816,-2599624.86559504,45.0818811710924
G01,L1 C,225237.983682743,225237.992,225238.0,-317253,512,225237.903196715,2394,24129104.2008957,106066.036843404,-2493450.94911639,-0.532405997635396,-2599516.45355379,21529632.8062282,-2599471.39466754,45.0588862588629
G01,L1 C,225238.983683254,225238.992,225239.0,-316742,512,225238.903197703,2394,24128961.1738989,106066.036583525,-2493297.75517035,-0.532330030321484,-2599363.25942385,21529643.0923637,-2599318.08153525,45.1778885992244
G01,L1 C,225239.983683766,225239.992,225240.0,-316230,512,225239.903198692,2394,24128818.2524867,106066.036323646,-2493144.26143185,-0.532254051708446,-2599209.76550145,21529653.5418333,-2599164.71065344,45.0548480064608
G01,L1 C,225240.983684278,225240.992,225241.0,-315718,512,225240.90319968,2394,24128675.4366599,106066.036063767,-2492990.76769336,-0.532178061797975,-2599056.27157906,21529664.0365338,-2599011.40012605,44.8714530086145
G01,L1 C,225241.98368479,225241.992,225242.0,-315206,512,225241.903200668,2394,24128532.7264191,106066.035803888,-2492837.27395486,-0.532102060591681,-2598902.77765669,21529674.6292348,-2598858.0971843,44.6804723935202
G01,L1 C,225242.983685302,225242.992,225243.0,-314694,512,225242.903201656,2394,24128390.1217651,106066.035544009,-2492683.78021637,-0.532026048091191,-2598749.28373433,21529685.3470189,-2598704.77474611,44.508988218382
G01,L1 C,225243.983685814,225243.992,225244.0,-314182,512,225243.903202643,2394,24128247.6226984,106066.03528413,-2492530.28647787,-0.531950024298117,-2598595.78981198,21529696.1541482,-2598551.4685502,44.3212617784739
G01,L1 C,225244.983686325,225244.992,225245.0,-313671,512,225244.903203629,2394,24128105.2292199,106066.035024251,-2492377.09253183,-0.531873989214152,-2598442.59568209,21529707.215213,-2598398.01400691,44.581675181631
G01,L1 C,225245.983686837,225245.992,225246.0,-313159,512,225245.903204616,2394,24127962.9413301,106066.034764372,-2492223.59879334,-0.531797942840764,-2598289.10175977,21529718.2348161,-2598244.70651394,44.3952458249405
G01,L1 C,225246.983687349,225246.992,225247.0,-312647,512,225246.903205602,2394,24127820.7590295,106066.034504493,-2492070.10505484,-0.531721885179647,-2598135.60783745,21529729.3762915,-2598091.38273801,44.2250994350761
G01,L1 C,225247.983687861,225247.992,225248.0,-312135,512,225247.903206588,2394,24127678.6823191,106066.034244614,-2491916.61131634,-0.531645816232416,-2597982.11391514,21529740.713349,-2597937.96897006,44.1449450780638
G01,L1 C,225248.983688373,225248.992,225249.0,-311623,512,225248.903207573,2394,24127536.7111992,106066.033984735,-2491763.11757785,-0.531569736000689,-2597828.61999285,21529752.2433361,-2597784.46786317,44.1521296794526
G01,L1 C,225249.983688885,225249.992,225250.0,-311111,512,225249.903208559,2394,24127394.8456707,106066.033724856,-2491609.62383935,-0.531493644486092,-2597675.12607056,21529763.8717424,-2597630.97392834,44.1521422206424
G01,L1 C,225250.983689397,225250.992,225251.0,-310599,512,225250.903209543,2394,24127253.0857341,106066.033464977,-2491456.13010086,-0.531417541690236,-2597521.63214829,21529775.4736243,-2597477.6121098,44.0200384971686
G01,L1 C,225251.983689909,225251.992,225252.0,-310087,512,225251.903210528,2394,24127111.4313901,106066.033205098,-2491302.63636236,-0.531341427614745,-2597368.13822603,21529787.2378631,-2597324.19352698,43.9446990480646
G01,L1 C,225252.983690421,225252.992,225253.0,-309575,512,225252.903211512,2394,24126969.8826392,106066.032945219,-2491149.14262386,-0.531265302261237,-2597214.64430378,21529799.2350972,-2597170.64754203,43.9967617518269
G01,L1 C,225253.983690933,225253.992,225254.0,-309063,512,225253.903212496,2394,24126828.4394822,106066.03268534,-2490995.64888537,-0.531189165631331,-2597061.15038154,21529811.3381494,-2597017.10133279,44.0490487557836
G01,L1 C,225254.983691445,225254.992,225255.0,-308551,512,225254.903213479,2394,24126687.1019196,106066.032425461,-2490842.15514687,-0.531113017726644,-2596907.65645932,21529823.3956915,-2596863.70622809,43.9502312275581
G01,L1 C,225255.983691957,225255.992,225256.0,-308039,512,225255.903214462,2394,24126545.869952,106066.032165583,-2490688.66140838,-0.531036858548802,-2596754.1625371,21529835.6012114,-2596710.26874058,43.893796521239
G01,L1 C,225256.983692468,225256.992,225257.0,-307528,512,225256.903215444,2394,24126404.7435801,106066.031905704,-2490535.46746234,-0.5309606880995,-2596600.96840735,21529847.899008,-2596556.84457208,44.12383527169
G01,L1 C,225257.98369298,225257.992,225258.0,-307016,512,225257.903216427,2394,24126263.7228043,106066.031645825,-2490381.97372384,-0.530884506380203,-2596447.47448516,21529860.274144,-2596403.4486603,44.025824861601
G01,L1 C,225258.983693492,225258.992,225259.0,-306504,512,225258.903217409,2394,24126122.8076254,106066.031385946,-2490228.47998535,-0.53080831339261,-2596293.98056298,21529872.7902778,-2596250.01734754,43.9632154377177
G01,L1 C,225259.983694004,225259.992,225260.0,-305992,512,225259.90321839,2394,24125981.9980438,106066.031126067,-2490074.98624685,-0.530732109138343,-2596140.48664081,21529885.4691872,-2596096.52885654,43.9577842657454
G01,L1 C,225260.983694515,225260.992,225261.0,-305481,512,225260.903219371,2394,24125841.2940603,106066.030866188,-2489921.79230081,-0.530655893619098,-2595987.29251111,21529898.2964933,-2595942.99756701,44.294944097288
G01,L1 C,225261.983695027,225261.992,225262.0,-304969,512,225261.903220352,2394,24125700.6956752,106066.030606309,-2489768.29856232,-0.530579666836344,-2595833.79858896,21529911.1416684,-2595789.55400686,44.244582102634
