rcvTow,week,leapS,numMeas,recStat,prMes,cpMes,doMes,gnssId,svId,sigId,freqId,locktime,cno,prStdev,cpStdev,doStdev,trkStat,prValid,cpValid,halfCyc,subHalfCyc
228560.004,2394,18,24,1,22965592.9540672,120684996.468225,-983.614929199219,0,32,0,0,1320,43,7,0,2,7,True,True,True,False
228560.004,2394,18,24,1,21694679.3863042,114006310.670781,117.666748046875,0,31,0,0,1320,45,6,0,1,6,False,True,True,False
228560.004,2394,18,24,1,26692720.1076302,140271104.592572,1360.20678710938,0,29,0,0,1000,29,8,0,6,9,True,False,False,True
228560.004,2394,18,24,1,22505216.4619187,118265709.450011,-1454.76440429688,0,28,0,0,1320,42,7,0,2,6,False,True,True,False
228560.004,2394,18,24,1,22025678.2370478,115745715.53314,2239.29443359375,0,26,0,0,1320,47,6,0,1,5,True,False,True,False
228560.004,2394,18,24,1,24735435.1931451,129985565.961979,-3181.47509765625,0,25,0,0,1320,32,7,0,5,8,False,False,False,True
228560.004,2394,18,24,1,24752952.1769535,130077623.438666,3937.15087890625,0,16,0,0,1320,38,7,0,2,7,True,True,True,False
228560.004,2394,18,24,1,24340972.4031926,127912666.332565,-3542.41284179688,0,10,0,0,1320,45,6,0,1,6,False,True,True,False
228560.004,2394,18,24,1,24349817.3451507,127959126.628764,3043.42749023438,0,3,0,0,1320,37,7,0,4,8,False,False,False,True
228560.004,2394,18,24,1,26182511.0934577,137589996.085195,-1679.609375,0,2,0,0,1300,38,7,0,3,7,True,True,True,False
228560.004,2394,18,24,1,28640121.604856,150504822.673001,1815.78686523438,2,5,0,0,1420,33,8,0,4,8,False,False,False,True
228600.004,2394,18,25,1,26957196.3510022,141661030.005438,-1493.09692382813,2,23,0,0,17400,36,5,0,3,7,True,True,True,False
228600.004,2394,18,25,1,25215693.340709,132509383.452581,1081.26708984375,2,31,0,0,17380,43,4,0,1,6,False,True,True,False
228600.004,2394,18,25,1,29350537.7455054,154238071.960308,436.453826904297,2,34,0,0,15000,28,7,0,8,9,True,False,False,True
228600.004,2394,18,25,1,27877176.6018954,146495561.901844,-1565.44506835938,2,36,0,0,17380,39,5,0,2,7,True,True,True,False
228600.004,2394,18,25,1,25211803.7751937,101517485.747777,56.6916465759277,2,6,6,0,17400,32,5,0,4,8,False,False,False,True
228600.004,2394,18,25,1,27877167.2131199,112249803.100826,-1199.84814453125,2,36,6,0,15000,27,7,0,7,8,False,False,False,True
228600.004,2394,18,25,1,26957185.9579317,108545412.606216,-1144.28857421875,2,23,6,0,17380,30,5,0,6,8,False,False,False,True
228600.004,2394,18,25,1,25215682.0408554,101533101.640354,828.845947265625,2,31,6,0,17400,33,5,0,5,8,False,False,False,True
228600.004,2394,18,25,1,29350482.1448538,118182227.21008,334.58642578125,2,34,6,0,17260,28,7,0,5,7,True,True,True,False
228600.004,2394,18,25,1,25456128.9056132,133772885.120783,876.512634277344,2,9,0,0,17380,41,4,0,1,6,False,True,True,False
228600.004,2394,18,25,1,25456115.8880997,102501228.428513,671.5908203125,2,9,6,0,17400,32,5,0,5,8,False,False,False,True
228600.004,2394,18,25,1,25211815.8603071,132489007.08269,73.31396484375,2,6,0,0,17400,41,4,0,2,6,False,True,True,False
228600.004,2394,18,25,1,26007296.1614287,136669270.562788,-739.600341796875,2,4,0,0,17380,39,4,0,2,7,True,True,True,False
228600.004,2394,18,25,1,22973195.4371019,120724955.22221,-1011.76342773438,0,32,0,0,17320,43,4,0,2,6,False,True,True,False
228600.004,2394,18,25,1,26195377.7311877,137657631.737488,-1699.70080566406,0,2,0,0,17300,37,5,0,2,7,True,True,True,False
228600.004,2394,18,25,1,24326777.9330939,127838065.966447,3012.14379882813,0,3,0,0,17320,40,5,0,2,7,True,True,True,False
228600.004,2394,18,25,1,24368045.0534329,128054948.380673,-3569.4697265625,0,10,0,0,17320,44,3,0,1,6,False,True,True,False
228600.004,2394,18,25,1,24723070.6485059,129920609.171304,3916.19873046875,0,16,0,0,17320,38,5,0,2,7,True,True,True,False
228600.004,2394,18,25,1,24759778.9473437,130113487.334966,-3212.291015625,0,25,0,0,17320,32,6,0,5,8,False,False,False,True
228600.004,2394,18,25,1,25359212.3407997,133263578.814502,-965.83056640625,0,1,0,0,17300,35,6,0,4,8,False,False,False,True
228600.004,2394,18,25,1,22008785.0267683,115656958.499197,2200.67749023438,0,26,0,0,17320,47,3,0,1,5,True,False,True,False
228600.004,2394,18,25,1,21693909.6578978,114002283.829745,85.943115234375,0,31,0,0,17320,45,3,0,1,6,False,True,True,False
228600.004,2394,18,25,1,28626366.3852167,150432499.770809,1801.90844726563,2,5,0,0,17420,33,6,0,5,8,False,False,False,True
228600.004,2394,18,25,1,22516390.0969738,118324437.616952,-1478.98071289063,0,28,0,0,17320,41,4,0,2,7,True,True,True,False
228600.004,2394,18,25,1,26682481.861692,140217341.017175,1332.29736328125,0,29,0,0,5000,27,7,0,8,8,False,False,False,True
228605.004,2394,18,25,1,25455295.5264905,133768507.591919,875.117919921875,2,9,0,0,19380,41,4,0,2,6,False,True,True,False
228605.004,2394,18,25,1,29350068.9055495,118180562.421013,331.820556640625,2,34,6,0,19260,28,7,0,6,8,False,False,False,True
228605.004,2394,18,25,1,25214655.0030553,101528965.627831,826.39306640625,2,31,6,0,19400,33,5,0,4,8,False,False,False,True
228605.004,2394,18,25,1,26958608.0597968,108551139.194791,-1146.03588867188,2,23,6,0,19380,30,5,0,6,8,False,False,False,True
228605.004,2394,18,25,1,27878659.1772806,112255807.592419,-1202.46032714844,2,36,6,0,17000,26,7,0,9,8,False,False,False,True
228605.004,2394,18,25,1,25211735.037041,101517207.882157,55.149658203125,2,6,6,0,19400,32,5,0,5,8,False,False,False,True
228605.004,2394,18,25,1,26008000.9903116,136672974.183726,-741.3291015625,2,4,0,0,19380,39,4,0,2,7,True,True,True,False
228605.004,2394,18,25,1,27878668.0101621,146503398.205881,-1568.2138671875,2,36,0,0,19380,39,5,0,2,7,True,True,True,False
228605.004,2394,18,25,1,29350135.5026303,154235898.993561,433.518280029297,2,34,0,0,17000,26,8,0,10,8,False,False,False,True
228605.004,2394,18,25,1,25214665.8124182,132503985.597651,1078.19702148438,2,31,0,0,19380,44,4,0,1,6,False,True,True,False
228605.004,2394,18,25,1,26958618.35375,141668503.763152,-1495.86474609375,2,23,0,0,19400,36,5,0,3,7,True,True,True,False
228605.004,2394,18,25,1,25455282.8634957,102497874.207603,670.68359375,2,9,6,0,19400,32,5,0,4,8,False,False,False,True
228605.004,2394,18,25,1,25211746.8577487,132488644.3915,71.9833984375,2,6,0,0,19400,41,4,0,2,6,False,True,True,False
228605.004,2394,18,25,1,22974159.8062841,120730022.470232,-1014.30224609375,0,32,0,0,19320,44,3,0,1,6,False,True,True,False
228605.004,2394,18,25,1,28624654.6438,150423491.834166,1801.48315429688,2,5,0,0,19420,32,6,0,5,8,False,False,False,True
228605.004,2394,18,25,1,25360134.5191944,133268421.365364,-969.565185546875,0,1,0,0,19300,35,5,0,4,8,False,False,False,True
228605.004,2394,18,25,1,26196995.6803365,137666136.023546,-1701.1787109375,0,2,0,0,19300,37,5,0,3,7,True,True,True,False
228605.004,2394,18,25,1,24371442.8322352,128072803.266268,-3571.87451171875,0,10,0,0,19320,44,3,0,1,6,False,True,True,False
228605.004,2394,18,25,1,24719345.4671827,129901034.262102,3914.71166992188,0,16,0,0,19320,38,5,0,2,7,True,True,True,False
228605.004,2394,18,25,1,24323913.6131716,127823014.024061,3009.59033203125,0,3,0,0,19320,40,5,0,2,7,True,True,True,False
228605.004,2394,18,25,1,22006693.0571128,115645966.402846,2196.84448242188,0,26,0,0,19320,47,3,0,1,5,True,False,True,False
228605.004,2394,18,25,1,22517798.7087038,118331840.26515,-1481.54162597656,0,28,0,0,19320,41,4,0,2,6,False,True,True,False
228605.004,2394,18,25,1,26681216.5191813,140210688.784501,1329.744140625,0,29,0,0,7000,28,6,0,6,8,False,False,False,True
228605.004,2394,18,25,1,21693829.5374566,114001863.555076,82.8173828125,0,31,0,0,19320,44,3,0,1,6,False,True,True,False
228605.004,2394,18,25,1,24762836.1755143,130129557.000321,-3215.10083007813,0,25,0,0,19320,32,6,0,5,8,False,False,False,True
228655.004,2394,18,25,1,27893709.4381656,146582436.790283,-1590.54016113281,2,36,0,0,39380,39,4,0,2,7,True,True,True,False
228655.004,2394,18,25,1,26972992.550691,141744038.914813,-1522.54992675781,2,23,0,0,39400,36,5,0,3,7,True,True,True,False
228655.004,2394,18,25,1,25204557.2481919,132450862.878282,1049.53881835938,2,31,0,0,39380,44,4,0,1,6,False,True,True,False
228655.004,2394,18,25,1,29346117.8705254,154214938.97909,404.115234375,2,34,0,0,5000,35,6,0,3,7,True,True,True,False
228655.004,2394,18,25,1,26015126.643913,136710424.254732,-753.900390625,2,4,0,0,39380,39,4,0,2,7,True,True,True,False
228655.004,2394,18,25,1,25447025.4065011,133725044.832115,866.342224121094,2,9,0,0,39380,41,4,0,1,6,False,True,True,False
228655.004,2394,18,25,1,26972982.2131821,108609016.685795,-1166.6396484375,2,23,6,0,39380,30,5,0,6,8,False,False,False,True
228655.004,2394,18,25,1,25204545.9079236,101488261.263868,804.058288574219,2,31,6,0,39400,33,5,0,3,8,False,False,False,True
228655.004,2394,18,25,1,29346099.1928594,118164578.152867,309.807861328125,2,34,6,0,39260,29,5,0,5,8,False,False,False,True
228655.004,2394,18,25,1,27893700.2401559,112316369.374517,-1218.8095703125,2,36,6,0,37000,27,7,0,8,8,False,False,False,True
228655.004,2394,18,25,1,25447012.2489671,102464571.578826,663.82568359375,2,9,6,0,39400,32,5,0,5,8,False,False,False,True
228655.004,2394,18,25,1,25211130.2379715,132485405.040626,60.382080078125,2,6,0,0,39400,41,4,0,2,6,False,True,True,False
228655.004,2394,18,25,1,25211118.4439277,101514725.708064,46.313720703125,2,6,6,0,39400,32,5,0,5,8,False,False,False,True
228655.004,2394,18,25,1,22983926.801833,120781348.014839,-1035.48461914063,0,32,0,0,39320,44,3,0,1,6,False,True,True,False
228655.004,2394,18,25,1,25369508.0327849,133317681.962511,-997.6455078125,0,1,0,0,39300,35,6,0,5,8,False,False,False,True
228655.004,2394,18,25,1,26213249.9622012,137751549.760546,-1713.01708984375,0,2,0,0,39300,35,5,0,3,7,True,True,True,False
228655.004,2394,18,25,1,24295414.1008563,127673251.711545,2984.62329101563,0,3,0,0,39320,39,5,0,3,7,True,True,True,False
228655.004,2394,18,25,1,24405536.4314898,128251964.846307,-3591.71557617188,0,10,0,0,39320,44,3,0,1,6,False,True,True,False
228655.004,2394,18,25,1,24682171.6242466,129705690.528308,3902.07348632813,0,16,0,0,39320,39,4,0,2,7,True,True,True,False
228655.004,2394,18,25,1,28607536.2327369,150333575.237325,1798.49609375,2,5,0,0,39420,31,7,0,6,8,False,False,False,True
228655.004,2394,18,25,1,24793556.3462797,130290987.04064,-3238.67431640625,0,25,0,0,39320,34,5,0,3,8,False,False,False,True
228655.004,2394,18,25,1,21985970.2369856,115537068.010741,2162.01782226563,0,26,0,0,39320,46,3,0,1,6,False,True,True,False
228655.004,2394,18,25,1,22531983.354958,118406383.782767,-1497.48291015625,0,28,0,0,39320,41,4,0,2,6,False,True,True,False
228655.004,2394,18,25,1,26668684.9127885,140144828.723486,1308.0078125,0,29,0,0,27000,32,6,0,5,8,False,False,False,True
228655.004,2394,18,25,1,21693178.0111014,113998441.489113,57.0546875,0,31,0,0,39320,44,3,0,1,6,False,True,True,False
228660.004,2394,18,25,1,27895213.9319317,112322465.547645,-1220.0927734375,2,36,6,0,39000,26,7,0,8,8,False,False,False,True
228660.004,2394,18,25,1,29345715.3473998,118163034.533659,307.082763671875,2,34,6,0,41260,29,5,0,7,8,False,False,False,True
228660.004,2394,18,25,1,25203548.3660869,101484244.86888,802.208251953125,2,31,6,0,41400,33,5,0,4,8,False,False,False,True
228660.004,2394,18,25,1,26974431.5682388,108614853.883542,-1168.78002929688,2,23,6,0,41380,30,5,0,6,8,False,False,False,True
228660.004,2394,18,25,1,25446188.2433336,102461253.762461,662.26416015625,2,9,6,0,41400,32,5,0,5,8,False,False,False,True
228660.004,2394,18,25,1,25211061.0936475,101514495.678328,45.283447265625,2,6,6,0,41400,32,5,0,5,8,False,False,False,True
228660.004,2394,18,25,1,26015845.056883,136714195.602036,-755.100769042969,2,4,0,0,41380,39,4,0,2,7,True,True,True,False
228660.004,2394,18,25,1,27895223.4630313,146590392.870363,-1592.4873046875,2,36,0,0,41380,39,4,0,2,7,True,True,True,False
228660.004,2394,18,25,1,25203559.7800649,132445621.130476,1046.73852539063,2,31,0,0,41380,44,4,0,1,5,True,False,True,False
228660.004,2394,18,25,1,26974442.1108227,141751656.904282,-1525.04833984375,2,23,0,0,41400,36,5,0,3,7,True,True,True,False
228660.004,2394,18,25,1,25446201.3289726,133720714.752164,865.25439453125,2,9,0,0,41380,42,4,0,1,6,False,True,True,False
228660.004,2394,18,25,1,29345730.5306947,154212924.422481,400.952880859375,2,34,0,0,7000,37,5,0,3,7,True,True,True,False
228660.004,2394,18,25,1,25370457.5914088,133322676.149506,-1000.35888671875,0,1,0,0,41300,34,6,0,6,9,True,False,False,True
228660.004,2394,18,25,1,28605829.5366667,150324584.785072,1797.9189453125,2,5,0,0,41420,32,6,0,5,8,False,False,False,True
228660.004,2394,18,25,1,26214879.5505056,137760112.849773,-1713.41638183594,0,2,0,0,41300,34,5,0,4,8,False,False,False,True
228660.004,2394,18,25,1,24292575.4468538,127658336.36275,2981.3408203125,0,3,0,0,41320,39,5,0,2,7,True,True,True,False
228660.004,2394,18,25,1,24408954.3785557,128269926.85585,-3593.71557617188,0,10,0,0,41320,44,3,0,1,6,False,True,True,False
228660.004,2394,18,25,1,24678459.1739741,129686181.887357,3900.85375976563,0,16,0,0,41320,39,4,0,2,7,True,True,True,False
228660.004,2394,18,25,1,24796638.7990192,130307188.000708,-3241.30053710938,0,25,0,0,41320,35,5,0,3,7,True,True,True,False
228660.004,2394,18,25,1,25211073.2547043,132485104.793935,59.2853965759277,2,6,0,0,41400,41,4,0,2,6,False,True,True,False
228660.004,2394,18,25,1,22533408.8014016,118413874.558982,-1499.12841796875,0,28,0,0,41320,41,4,0,2,6,False,True,True,False
228660.004,2394,18,25,1,26667442.0474845,140138294.268325,1305.23217773438,0,29,0,0,29000,31,6,0,5,8,False,False,False,True
228660.004,2394,18,25,1,21693124.8892184,113998162.0435,54.5427207946777,0,31,0,0,41320,44,3,0,1,6,False,True,True,False
228660.004,2394,18,25,1,22984912.9854625,120786530.831627,-1037.91430664063,0,32,0,0,41320,44,3,0,1,6,False,True,True,False
228660.004,2394,18,25,1,21983914.4325574,115526265.500143,2158.6181640625,0,26,0,0,41320,47,3,0,1,6,False,True,True,False
228665.004,2394,18,26,1,26899431.1631841,141357464.303664,2643.55126953125,0,4,0,0,0,25,9,0,15,11,True,True,False,True
228665.004,2394,18,26,1,26975894.1188709,141759288.097556,-1527.58508300781,2,23,0,0,43400,35,5,0,3,7,True,True,True,False
228665.004,2394,18,26,1,25202565.1431311,132440393.709908,1044.04541015625,2,31,0,0,43380,44,4,0,1,5,True,False,True,False
228665.004,2394,18,26,1,29345347.8710124,154210924.239233,398.78759765625,2,34,0,0,9000,36,5,0,3,7,True,True,True,False
228665.004,2394,18,26,1,27896739.5724301,146598359.914752,-1594.68017578125,2,36,0,0,43380,39,4,0,2,7,True,True,True,False
228665.004,2394,18,26,1,25445365.1607467,102457939.245432,662.510681152344,2,9,6,0,43400,32,5,0,5,8,False,False,False,True
228665.004,2394,18,26,1,25211004.8726058,101514270.045465,44.482666015625,2,6,6,0,43400,33,5,0,4,8,False,False,False,True
228665.004,2394,18,26,1,26975883.900861,108620701.133964,-1170.52319335938,2,23,6,0,43380,30,6,0,6,8,False,False,False,True
228665.004,2394,18,26,1,25202553.6431584,101480239.457354,799.787536621094,2,31,6,0,43400,33,5,0,4,8,False,False,False,True
228665.004,2394,18,26,1,29345334.858385,118161502.011127,305.439453125,2,34,6,0,43260,29,5,0,6,8,False,False,False,True
228665.004,2394,18,26,1,27896728.5996634,112328570.143487,-1221.99365234375,2,36,6,0,41000,26,7,0,8,8,False,False,False,True
228665.004,2394,18,26,1,26016564.2249588,136717973.205995,-756.017517089844,2,4,0,0,43380,39,4,0,2,7,True,True,True,False
228665.004,2394,18,26,1,25445378.1745607,133716389.099605,864.4189453125,2,9,0,0,43380,42,4,0,2,6,False,True,True,False
228665.004,2394,18,26,1,25211017.9804416,132484810.359356,58.154541015625,2,6,0,0,43400,41,4,0,2,6,False,True,True,False
228665.004,2394,18,26,1,22985901.2215867,120791724.285541,-1040.01342773438,0,32,0,0,43320,44,3,0,1,6,False,True,True,False
228665.004,2394,18,26,1,25371410.8447325,133327684.17284,-1003.45678710938,0,1,0,0,43300,33,6,0,7,9,True,False,False,True
228665.004,2394,18,26,1,26216509.8692063,137768681.348211,-1714.7958984375,0,2,0,0,43300,33,5,0,4,8,False,False,False,True
228665.004,2394,18,26,1,24289739.7296532,127643433.582978,2979.4765625,0,3,0,0,43320,39,5,0,2,7,True,True,True,False
228665.004,2394,18,26,1,24412374.2168065,128287898.591977,-3595.357421875,0,10,0,0,43320,44,3,0,1,6,False,True,True,False
228665.004,2394,18,26,1,24674748.2011068,129666679.453508,3899.56909179688,0,16,0,0,43320,39,4,0,2,7,True,True,True,False
228665.004,2394,18,26,1,28604119.93702,150315595.966031,1797.65307617188,2,5,0,0,43420,33,5,0,4,8,False,False,False,True
228665.004,2394,18,26,1,21981861.9990924,115515480.386801,2154.91333007813,0,26,0,0,43320,46,3,0,1,5,True,False,True,False
228665.004,2394,18,26,1,22534835.7721566,118421373.432852,-1500.7373046875,0,28,0,0,43320,42,4,0,1,6,False,True,True,False
228665.004,2394,18,26,1,26666200.3460403,140131770.550745,1303.396484375,0,29,0,0,31000,30,6,0,6,8,False,False,False,True
228665.004,2394,18,26,1,21693074.0882143,113997895.482621,51.9343223571777,0,31,0,0,43320,44,3,0,1,6,False,True,True,False
228665.004,2394,18,26,1,24799723.6244299,130323400.915845,-3243.86059570313,0,25,0,0,43320,35,5,0,3,8,False,False,False,True
228670.004,2394,18,25,1,26977348.8374266,141766931.374383,-1528.76525878906,2,23,0,0,45400,35,5,0,3,7,True,True,True,False
228670.004,2394,18,25,1,25201572.8616276,132435179.536134,1042.49560546875,2,31,0,0,45380,44,4,0,1,6,False,True,True,False
228670.004,2394,18,25,1,29344968.0586472,154208937.525225,397.385986328125,2,34,0,0,11000,35,5,0,3,7,True,True,True,False
228670.004,2394,18,25,1,27898257.6905584,146606336.800812,-1595.29296875,2,36,0,0,45380,39,4,0,2,7,True,True,True,False
228670.004,2394,18,25,1,26017284.0489534,136721756.055276,-756.054931640625,2,4,0,0,45380,39,4,0,2,7,True,True,True,False
228670.004,2394,18,25,1,25444542.6599502,102454627.390008,662.73046875,2,9,6,0,45400,32,5,0,5,8,False,False,False,True
228670.004,2394,18,25,1,26977338.1530072,108626557.676121,-1171.703125,2,23,6,0,45380,30,6,0,6,8,False,False,False,True
228670.004,2394,18,25,1,25201561.6130079,101476244.161686,799.04541015625,2,31,6,0,45400,33,5,0,4,8,False,False,False,True
228670.004,2394,18,25,1,29344957.1940718,118159979.73674,304.215087890625,2,34,6,0,45260,29,5,0,6,8,False,False,False,True
228670.004,2394,18,25,1,25444555.9832612,133712066.825157,865.03271484375,2,9,0,0,45380,42,4,0,1,6,False,True,True,False
228670.004,2394,18,25,1,25210949.8274994,101514048.04945,44.543212890625,2,6,6,0,45400,32,5,0,4,8,False,False,False,True
228670.004,2394,18,25,1,27898247.4188717,112334682.271579,-1222.41284179688,2,36,6,0,43000,27,7,0,8,8,False,False,False,True
228670.004,2394,18,25,1,25210962.7850539,132484520.63477,58.5732421875,2,6,0,0,45400,41,4,0,2,6,False,True,True,False
228670.004,2394,18,25,1,22986891.2955678,120796927.290397,-1040.85717773438,0,32,0,0,45320,43,4,0,2,6,False,True,True,False
228670.004,2394,18,25,1,28602408.427761,150306607.771829,1798.98364257813,2,5,0,0,45420,34,6,0,4,8,False,False,False,True
228670.004,2394,18,25,1,25372366.8194525,133332704.901907,-1004.30511474609,0,1,0,0,45300,33,6,0,6,9,True,False,False,True
228670.004,2394,18,25,1,26218141.0114177,137777254.054241,-1713.873046875,0,2,0,0,45300,33,5,0,4,8,False,False,False,True
228670.004,2394,18,25,1,24415795.7429819,128305879.0443,-3596.08984375,0,10,0,0,45320,44,3,0,1,6,False,True,True,False
228670.004,2394,18,25,1,24671037.9920705,129647182.232687,3899.623046875,0,16,0,0,45320,40,4,0,2,7,True,True,True,False
228670.004,2394,18,25,1,24286905.8751587,127628542.396531,2977.85375976563,0,3,0,0,45320,39,5,0,3,7,True,True,True,False
228670.004,2394,18,25,1,21979813.0280298,115504711.600969,2152.83203125,0,26,0,0,45320,46,3,0,1,6,False,True,True,False
228670.004,2394,18,25,1,22536264.1404646,118428879.291148,-1501.1083984375,0,28,0,0,45320,42,4,0,1,6,False,True,True,False
228670.004,2394,18,25,1,26664960.8810857,140125256.65447,1302.62744140625,0,29,0,0,33000,32,6,0,5,8,False,False,False,True
228670.004,2394,18,25,1,21693025.5515505,113997640.691365,50.7556114196777,0,31,0,0,45320,44,3,0,1,6,False,True,True,False
228670.004,2394,18,25,1,24802810.5126658,130339624.680308,-3244.48999023438,0,25,0,0,45320,35,5,0,3,8,False,False,False,True
228675.004,2394,18,25,1,27899776.5929693,146614318.632023,-1596.72790527344,2,36,0,0,47380,39,4,0,2,7,True,True,True,False
228675.004,2394,18,25,1,26978804.4550174,141774581.863437,-1530.81994628906,2,23,0,0,47400,35,5,0,3,7,True,True,True,False
228675.004,2394,18,25,1,25200582.2480858,132429973.689889,1040.55834960938,2,31,0,0,47380,44,4,0,1,5,True,False,True,False
228675.004,2394,18,25,1,29344588.4475877,154206959.311147,395.306610107422,2,34,0,0,13000,32,6,0,5,8,False,False,False,True
228675.004,2394,18,25,1,26018003.4174973,136725539.168453,-756.409423828125,2,4,0,0,47380,39,4,0,2,6,False,True,True,False
228675.004,2394,18,25,1,25443733.2261558,133707742.967127,865.05810546875,2,9,0,0,47380,42,4,0,2,6,False,True,True,False
228675.004,2394,18,25,1,25443719.6315288,102451314.292644,662.764892578125,2,9,6,0,47400,32,5,0,5,8,False,False,False,True
228675.004,2394,18,25,1,26978793.9894936,108632419.726644,-1173.46337890625,2,23,6,0,47380,30,6,0,7,8,False,False,False,True
228675.004,2394,18,25,1,25200570.9265939,101472255.304249,797.1240234375,2,31,6,0,47400,33,5,0,4,8,False,False,False,True
228675.004,2394,18,25,1,29344580.6725384,118158463.944836,302.469482421875,2,34,6,0,47260,29,5,0,5,7,True,True,True,False
228675.004,2394,18,25,1,25210895.1570142,101513825.92217,44.2451171875,2,6,6,0,47400,33,5,0,4,8,False,False,False,True
228675.004,2394,18,25,1,25210907.3572292,132484230.724925,58.2421836853027,2,6,0,0,47400,41,4,0,2,6,False,True,True,False
228675.004,2394,18,25,1,27899765.3539821,112340798.193809,-1223.17944335938,2,36,6,0,45000,26,7,0,7,8,False,False,False,True
228675.004,2394,18,25,1,22987881.9993622,120802134.927825,-1041.865234375,0,32,0,0,47320,43,4,0,1,6,False,True,True,False
228675.004,2394,18,25,1,25373323.949028,133337733.474514,-1005.92529296875,0,1,0,0,47300,33,6,0,6,9,True,False,False,True
228675.004,2394,18,25,1,26219772.0055117,137785826.158429,-1713.89733886719,0,2,0,0,47300,33,5,0,4,8,False,False,False,True
228675.004,2394,18,25,1,24284073.5952321,127613657.788062,2976.44555664063,0,3,0,0,47320,38,5,0,3,7,True,True,True,False
228675.004,2394,18,25,1,24419218.0463202,128323863.226726,-3597.00512695313,0,10,0,0,47320,44,3,0,1,6,False,True,True,False
228675.004,2394,18,25,1,24667327.939109,129627685.339098,3899.783203125,0,16,0,0,47320,40,4,0,2,7,True,True,True,False
228675.004,2394,18,25,1,28600695.61169,150297615.292288,1799.25903320313,2,5,0,0,47420,34,6,0,5,8,False,False,False,True
228675.004,2394,18,25,1,21977765.657222,115493954.228872,2150.50048828125,0,26,0,0,47320,46,3,0,1,5,True,False,True,False
228675.004,2394,18,25,1,22537692.6802036,118436387.223466,-1501.650390625,0,28,0,0,47320,41,4,0,1,6,False,True,True,False
228675.004,2394,18,25,1,26663722.9052629,140118747.707825,1302.16674804688,0,29,0,0,35000,31,7,0,6,9,True,False,False,True
228675.004,2394,18,25,1,21692978.501366,113997392.763345,49.0283164978027,0,31,0,0,47320,45,3,0,1,6,False,True,True,False
228675.004,2394,18,25,1,24805898.7735358,130355854.393123,-3246.49194335938,0,25,0,0,47320,34,5,0,3,8,False,False,False,True
228680.004,2394,18,25,1,25199593.4525774,132424776.435418,1039.0693359375,2,31,0,0,49380,44,4,0,1,6,False,True,True,False
228680.004,2394,18,25,1,29344197.0347365,154204989.86904,393.993377685547,2,34,0,0,15000,31,8,0,6,8,False,False,False,True
228680.004,2394,18,25,1,27901296.3177741,146622305.631206,-1597.42504882813,2,36,0,0,49380,39,4,0,2,7,True,True,True,False
228680.004,2394,18,25,1,26018722.9411387,136729322.829398,-756.115234375,2,4,0,0,49380,39,4,0,2,7,True,True,True,False
228680.004,2394,18,25,1,25210839.8453382,101513603.807136,44.666015625,2,6,6,0,49400,32,5,0,4,8,False,False,False,True
228680.004,2394,18,25,1,26980251.2274419,108638287.401279,-1173.71801757813,2,23,6,0,49380,30,5,0,6,8,False,False,False,True
228680.004,2394,18,25,1,25199581.9218924,101468272.947195,796.40966796875,2,31,6,0,49400,33,5,0,4,8,False,False,False,True
228680.004,2394,18,25,1,29344205.6885787,118156954.768864,302.712890625,2,34,6,0,49260,29,5,0,6,8,False,False,False,True
228680.004,2394,18,25,1,27901286.165726,112346918.153987,-1224.18994140625,2,36,6,0,47000,26,7,0,8,8,False,False,False,True
